generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.46299,-4883.34,5.31454,1
5000,1,6.58096,-4868.44,1.42471,0.211958
10000,1,7.09323,-4872,3.72558,0.386333
15000,1,5.93812,-4864.77,2.68138,0.37
20000,1,7.78833,-4866.94,1.54423,0.341
25000,6,28.1264,-4852.44,5.68606,0.37
30000,5,20.9188,-4839.91,4.01744,0.389
35000,4,15.5522,-4836.39,8.28938,0.329
40000,5,22.316,-4850.99,4.95499,0.374
45000,6,25.1919,-4821.05,10.1939,0.336
50000,5,25.1217,-4810.31,7.7584,0.325
55000,5,25.5246,-4819.28,8.03263,0.385
60000,6,30.333,-4821.52,6.29123,0.282
65000,9,43.6451,-4805.29,9.07663,0.345
70000,11,47.7279,-4792.38,11.6434,0.386
75000,12,49.9398,-4796.29,7.10846,0.404
80000,11,42.1977,-4793.45,10.0053,0.397
85000,12,49.1942,-4792.54,11.6423,0.348
90000,16,61.406,-4791.91,19.0987,0.403
95000,16,68.9022,-4773.64,13.9309,0.39
100000,22,97.6838,-4770.02,19.9959,0.382
105000,17,69.6052,-4783.94,24.3754,0.426
110000,20,75.0223,-4776.96,25.2326,0.39
115000,12,52.8727,-4795.51,11.3029,0.351
120000,19,75.795,-4771.35,23.488,0.418
125000,22,89.4844,-4788.24,22.7202,0.437
130000,17,49.972,-4773.41,12.9641,0.401
135000,11,45.1987,-4791.78,9.74274,0.382538
140000,8,29.5903,-4790.95,6.93968,0.347
145000,11,48.2107,-4795.12,16.0721,0.37125
150000,11,49.0988,-4785.39,11.1598,0.399
155000,10,41.0064,-4795.22,15.6993,0.339
160000,7,33.8064,-4824.25,4.00211,0.375
165000,11,43.0291,-4793.38,11.5988,0.381
170000,7,31.1065,-4802.88,9.66235,0.393
175000,12,56.7843,-4794.71,13.2919,0.408
180000,13,58.3841,-4791.35,10.2979,0.393
185000,13,58.2805,-4793.43,10.4594,0.372
190000,15,61.7923,-4794.58,17.115,0.398
195000,14,60.5401,-4793.19,8.25759,0.365
200000,14,56.5097,-4780.49,10.9615,0.376
205000,10,44.8775,-4785.78,8.21875,0.377
210000,10,38.326,-4781.95,15.3512,0.361
215000,13,55.7479,-4790.13,10.0362,0.396
220000,12,57.8271,-4778.44,10.2233,0.337
225000,11,45.6927,-4791.34,14.2562,0.376
230000,8,29.8112,-4792.82,13.7926,0.385
235000,11,39.7509,-4787.15,11.9506,0.376
240000,12,41.113,-4785.73,11.0586,0.349
245000,12,46.6076,-4780.41,11.4013,0.399
250000,9,42.9307,-4790.9,8.06755,0.378
255000,9,32.0287,-4794.6,8.74493,0.352
260000,13,60.0334,-4782.96,10.1781,0.377
265000,13,52.125,-4782.21,10.2138,0.392
270000,12,47.7343,-4792.48,10.2026,0.357
275000,12,50.4758,-4787.74,9.89331,0.389
280000,11,39.5249,-4799.45,8.34955,0.367333
285000,10,43.0993,-4789.57,14.4091,0.397
290000,9,38.8928,-4788.15,13.1589,0.378
295000,16,65.5676,-4784.63,16.481,0.389
300000,19,84.1371,-4772.47,20.6856,0.388
305000,20,79.2849,-4772.08,13.7809,0.403
310000,25,98.4357,-4753.11,20.7336,0.412
315000,23,98.0105,-4773.8,25.8027,0.411
320000,19,80.3558,-4783.12,25.7041,0.405
325000,17,60.7146,-4779.63,20.4514,0.382
330000,17,67.834,-4771.31,18.1206,0.392
335000,18,73.9697,-4776.86,15.8818,0.372
340000,19,68.1857,-4774.56,22.3843,0.397
345000,20,73.2769,-4787.53,27.1034,0.432
350000,20,74.2361,-4776.92,18.8639,0.384
355000,21,78.2761,-4770.53,25.1078,0.406
360000,18,74.2096,-4774.66,11.3311,0.422
365000,16,61.321,-4777.23,16.162,0.427
