generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
5000,Neoponera_bucki,Platythyrea_arnoldi,0,0.152101,0.000304842,0.0822776,0
5000,Platythyrea_arnoldi,Platythyrea_quadridenta,59.2613,0.108792,-0.0105523,0.0530614,0
10000,Neoponera_bucki,Platythyrea_arnoldi,0,0.136598,0.000671989,0.0674562,0
10000,Platythyrea_arnoldi,Platythyrea_quadridenta,50.5908,0.0711535,0.00252249,0.0797373,0
15000,Neoponera_bucki,Platythyrea_arnoldi,0,0.123473,0.00259269,0.07167,0
15000,Platythyrea_arnoldi,Platythyrea_quadridenta,7.38359,0.047529,0.020358,0.0716655,0
20000,Neoponera_bucki,Platythyrea_arnoldi,0,0.115343,0.00356491,0.0743979,0
20000,Platythyrea_arnoldi,Platythyrea_quadridenta,43.8394,0.0408046,0.00118832,0.0266101,0
25000,Neoponera_bucki,Platythyrea_arnoldi,0,0.130886,0.00123601,0.0685444,0
25000,Leptogenys_ergatogyna,Leptogenys_titan,100.909,0.269136,-0.0126968,0.0845471,0
25000,Bothroponera_berthoudi,Bothroponera_fugax,94.3862,0.18293,-0.00755555,0.0332878,0
25000,Hypoponera_dulcis,Hypoponera_bugnioni,106.753,0.242241,-0.0103158,0.0950814,0
25000,Diacamma_violaceum,Diacamma_rugosum,113.76,0.259213,0.00651788,0.0810079,0
25000,Platythyrea_clypeata,Platythyrea_gracillima,104.33,0.0289245,-0.0171574,0.0420331,0
25000,Platythyrea_arnoldi,Platythyrea_quadridenta,26.358,0.0608523,0.00187677,0.0296469,0
30000,Neoponera_bucki,Platythyrea_arnoldi,0,0.120961,0.00123601,0.0715463,0
30000,Leptogenys_ergatogyna,Leptogenys_pe03,91.7659,0.266471,-0.0157532,0.0259339,0
30000,Diacamma_violaceum,Diacamma_geometricum,55.3786,0.18651,-0.0127168,0.257767,0
30000,Diacamma_violaceum,Diacamma_geometricum,86.3026,0.21496,0.00996459,0.107279,0
30000,Rasopone_jtl027,Rasopone_costaricensis,118.118,0.362767,0.000517827,0.0258625,0
30000,Platythyrea_arnoldi,Platythyrea_quadridenta,9.8322,0.137861,-0.0045558,0.0712614,0
35000,Neoponera_bucki,Platythyrea_arnoldi,0,0.125973,0.000900663,0.0690433,0
35000,Leptogenys_ergatogyna,Leptogenys_saussurei,82.754,0.24693,-0.0138005,0.00257673,0
35000,Myopias_mj_utai_1,Myopias_my11,94.3002,0.325435,-0.0105499,0.126677,0
35000,Diacamma_violaceum,Diacamma_geometricum,74.1129,0.335834,0.00527913,0.327242,0
35000,Platythyrea_arnoldi,Platythyrea_quadridenta,19.5954,0.123923,-0.000826257,0.101699,0
40000,Neoponera_bucki,Platythyrea_arnoldi,0,0.114717,0.00282457,0.0703942,0
40000,Anochetus_siphneus,Anochetus_casc_mz11,101.309,0.138179,0.00385876,0.0598646,0
