generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.84929,-4883.34,1.32864,1
5000,1,8.09032,-4868.83,1.30095,0.361
10000,1,7.58438,-4870.19,2.67885,0.391333
15000,1,8.00432,-4867.69,2.50919,0.358
20000,1,6.62996,-4867.23,1.4717,0.359429
25000,5,25.1567,-4857.74,4.11985,0.436
30000,5,25.0498,-4830,2.44589,0.397
35000,7,31.3046,-4821.19,6.62866,0.356
40000,8,36.3385,-4799.07,6.86916,0.401
45000,7,33.2135,-4799.31,3.59078,0.379
50000,7,31.0268,-4798.73,12.4006,0.368
55000,6,23.3234,-4808.58,6.41872,0.36575
60000,10,30.4919,-4799.34,7.62083,0.349229
65000,12,43.8141,-4803.73,10.8411,0.376
70000,13,35.7259,-4791.07,13.4751,0.389333
75000,12,46.3645,-4791.81,8.05478,0.373
80000,12,51.6838,-4794.18,8.92123,0.381
85000,10,50.5049,-4788.95,7.7655,0.360063
90000,19,76.9681,-4787.68,17.8714,0.424
95000,12,51.4404,-4783.42,15.5555,0.39525
100000,14,56.2733,-4783.23,9.92735,0.396
105000,11,49.9766,-4785.23,12.0877,0.375
110000,15,60.7645,-4789.57,13.8683,0.373
115000,7,32.5116,-4806.9,6.26868,0.360872
120000,12,53.5431,-4788.63,7.93658,0.371
125000,8,37.1146,-4808.53,7.77419,0.363
130000,14,59.0124,-4777.31,7.70059,0.382
135000,5,22.9094,-4816.11,5.95238,0.353875
140000,6,21.0569,-4804.99,2.99831,0.342
145000,10,42.2717,-4804.22,13.2789,0.369714
150000,7,26.823,-4793.37,9.37006,0.318
155000,8,30.9321,-4800.25,12.7972,0.3482
160000,8,32.9165,-4804.11,11.3862,0.355
165000,9,41.3409,-4799.36,8.94466,0.356
170000,9,34.9989,-4798.43,12.8605,0.362867
175000,10,42.5078,-4788.58,10.0347,0.374
180000,8,29.4718,-4792.57,7.09028,0.36
185000,9,35.4583,-4789.99,8.59029,0.365
190000,9,30.7846,-4782.88,12.2898,0.379429
195000,10,27.2887,-4780.11,11.6177,0.336
200000,10,40.4592,-4788.19,10.9038,0.375
205000,9,39.2779,-4783.25,11.043,0.367556
210000,11,48.1746,-4778.03,8.72996,0.355
215000,12,52.7884,-4780.74,11.6271,0.398
220000,12,51.5119,-4787.35,7.93004,0.361
225000,10,44.1831,-4786.75,8.34562,0.335
230000,11,41.3112,-4784.8,13.1018,0.391
235000,12,45.176,-4779.37,11.5095,0.386
240000,10,39.5325,-4781.65,11.6622,0.391
245000,11,43.5951,-4793.06,8.97278,0.379
250000,13,52.4864,-4797.63,9.38494,0.351
255000,11,44.651,-4784.71,8.43256,0.389
260000,11,47.6216,-4786.02,7.14882,0.378
265000,9,35.2137,-4798.51,10.9863,0.397
270000,13,59.451,-4782.99,9.69904,0.382
275000,14,54.5425,-4784.25,11.5748,0.376
280000,12,50.3582,-4782.97,11.0374,0.401
285000,7,27.6875,-4800.95,5.96704,0.366452
290000,12,50.786,-4779.65,11.7535,0.374857
295000,9,36.5791,-4783.15,9.8204,0.363833
300000,16,59.0887,-4772.8,11.4154,0.378
305000,15,61.5431,-4786.12,9.75566,0.387
310000,17,60.8276,-4775.79,14.5998,0.36
315000,10,35.6086,-4775.95,6.66601,0.343
320000,10,32.1329,-4788.07,5.60958,0.365
325000,10,46.6724,-4796.72,10.2084,0.371
330000,11,46.2945,-4787.79,8.47294,0.406
335000,8,39.1291,-4789.65,10.7189,0.358
340000,10,40.112,-4788.89,8.21332,0.355
345000,10,35.9486,-4796.54,10.4761,0.364
350000,14,63.5494,-4793.9,11.1686,0.386
355000,8,37.1168,-4815.39,5.91123,0.355
360000,10,44.5621,-4796.49,5.85066,0.371
365000,10,42.5251,-4798.68,7.88396,0.416
370000,10,42.4151,-4783.49,6.33483,0.383
375000,11,48.0984,-4791.06,5.66746,0.414
380000,12,48.7478,-4775.66,9.8667,0.391
385000,13,58.9434,-4778.59,12.4946,0.381
390000,11,44.7939,-4790,15.4119,0.387
395000,10,38.9935,-4786.94,10.1369,0.398
400000,9,33.8325,-4793.87,20.0805,0.345
405000,11,48.7266,-4795.25,9.73193,0.38
410000,11,47.4841,-4801.62,8.81676,0.345
415000,11,45.7973,-4790.26,6.17152,0.374
420000,7,36.3421,-4803.93,2.28687,0.380417
425000,9,35.3086,-4807.36,6.90731,0.408
430000,7,30.3381,-4801.43,5.57702,0.376067
435000,9,37.8922,-4793.29,5.35361,0.391
440000,8,33.6658,-4795.6,5.32596,0.356
445000,10,41.5085,-4792.21,11.0483,0.36
450000,10,32.8727,-4794.63,14.2069,0.369
455000,11,44.6934,-4789.42,7.67861,0.373
460000,8,33.8308,-4790.84,6.10115,0.364
465000,8,32.2791,-4794.57,4.39149,0.386
470000,9,31.0825,-4799.44,4.87419,0.3787
475000,7,30.4779,-4804.33,6.72856,0.378
480000,8,38.1379,-4797.62,6.85176,0.392
485000,7,23.1491,-4795.65,8.69486,0.381
490000,7,36.2802,-4800.54,7.79165,0.353
495000,8,35.85,-4807.05,8.69147,0.38
500000,9,36.3638,-4791.9,10.8574,0.337
505000,7,35.9371,-4803.51,10.4385,0.3781
510000,12,45.4625,-4786.29,16.3213,0.388
515000,12,49.0055,-4802.04,12.7486,0.378778
520000,11,50.4074,-4787.57,8.20663,0.359
525000,11,52.7272,-4795.56,9.0295,0.394
530000,9,38.6886,-4810.68,7.8243,0.3766
535000,8,41.3919,-4798.1,9.35464,0.367
540000,7,28.0723,-4791.52,6.89601,0.349
545000,8,34.2607,-4790.56,8.43173,0.326
550000,8,36.1281,-4802.62,6.12922,0.377333
555000,11,52.3985,-4789.4,11.4911,0.381
560000,13,54.6304,-4790.21,14.3959,0.413
565000,11,47.1628,-4787.8,10.8075,0.374
570000,13,61.9458,-4785.67,7.5018,0.392
575000,10,37.1527,-4781.5,14.3846,0.342
580000,11,38.8639,-4776.58,8.97773,0.358667
585000,13,56.5471,-4775.97,13.8391,0.408
