generation,rank_1,rank_2,swapAccepted
354000,2,4,0
355000,2,4,0
356000,1,3,1
357000,3,4,1
358000,1,2,1
359000,1,2,0
360000,1,3,0
361000,1,2,0
362000,1,4,0
363000,1,4,0
364000,2,4,1
365000,1,2,0
366000,1,3,0
367000,1,3,0
368000,2,4,0
369000,1,2,0
370000,1,2,0
371000,2,4,0
372000,2,4,0
373000,2,4,0
374000,1,4,0
375000,2,4,1
376000,2,3,1
377000,2,4,0
378000,2,3,0
379000,1,3,0
380000,2,3,1
381000,2,4,1
382000,1,4,0
383000,1,2,0
384000,2,3,1
385000,1,2,0
386000,2,4,0
387000,1,4,0
388000,2,4,1
389000,3,4,1
390000,1,2,0
391000,1,3,0
392000,2,3,1
393000,1,2,0
394000,3,4,1
395000,1,3,0
396000,3,4,1
397000,1,3,0
398000,1,2,0
399000,2,3,1
400000,1,4,0
401000,2,3,1
402000,1,4,0
403000,3,4,1
404000,1,3,0
405000,3,4,1
406000,2,4,1
407000,1,3,1
408000,1,3,0
409000,1,3,1
410000,3,4,1
411000,1,3,0
412000,1,4,0
413000,2,4,0
414000,1,4,0
415000,3,4,1
416000,1,3,0
417000,1,2,0
418000,2,3,1
419000,3,4,0
420000,1,2,1
421000,2,3,0
422000,1,4,1
423000,3,4,1
424000,1,2,1
425000,1,4,0
426000,1,3,0
427000,2,3,0
428000,2,3,1
429000,1,2,0
430000,1,4,1
431000,2,4,1
432000,1,4,0
433000,2,4,0
434000,3,4,1
435000,1,3,0
436000,2,4,0
437000,3,4,1
438000,1,4,0
439000,1,2,0
440000,2,3,1
441000,2,3,1
442000,1,4,0
443000,1,2,0
444000,1,2,0
445000,1,3,0
446000,2,4,0
447000,3,4,0
448000,3,4,0
449000,2,4,1
450000,1,2,0
451000,1,4,1
452000,3,4,1
453000,1,3,0
454000,3,4,1
455000,2,4,1
456000,1,4,0
457000,2,4,0
458000,3,4,1
459000,3,4,1
460000,1,3,0
461000,2,3,0
462000,1,4,0
463000,2,4,0
464000,3,4,1
465000,3,4,1
466000,3,4,1
467000,1,4,0
468000,1,4,0
469000,1,4,0
470000,1,2,1
471000,2,4,0
472000,2,3,1
473000,1,3,1
474000,2,4,1
475000,2,3,1
476000,3,4,1
477000,2,4,0
478000,1,3,0
479000,2,3,1
480000,1,3,1
481000,1,2,0
482000,1,3,1
483000,2,3,1
484000,2,3,0
485000,1,3,0
486000,1,3,0
487000,2,4,1
488000,1,2,1
489000,2,4,1
490000,1,3,0
491000,3,4,1
492000,1,2,1
493000,2,4,0
494000,2,4,0
495000,2,4,1
496000,1,4,1
497000,1,3,0
498000,2,3,1
499000,3,4,1
500000,1,3,0
501000,1,4,1
502000,3,4,1
503000,2,4,1
504000,3,4,1
505000,1,2,1
506000,3,4,1
507000,1,2,1
508000,3,4,1
509000,2,3,1
510000,3,4,1
511000,2,3,0
512000,3,4,1
513000,1,2,1
514000,2,3,0
515000,1,3,1
516000,1,3,1
517000,2,4,1
518000,1,4,0
519000,2,4,0
520000,1,3,0
521000,1,3,0
522000,1,3,1
523000,2,3,1
