generation,N_shifts,logPrior,logLik,eventRate,acceptRate
630000,9,33.0293,-4791.68,5.30784,0.355
635000,8,30.5225,-4783.58,5.4569,0.332
640000,8,35.0405,-4814.47,4.20322,0.359538
645000,9,41.8404,-4797.23,3.07272,0.369
650000,12,50.1457,-4802.57,5.16588,0.39
655000,8,32.3184,-4806.45,4.06388,0.351769
660000,8,30.0228,-4789.02,6.42163,0.336
665000,10,42.5028,-4792.78,3.92596,0.344
670000,10,40.8428,-4800.27,4.60968,0.367
675000,10,41.2887,-4803.7,6.21509,0.357833
680000,9,36.7773,-4794.16,5.93715,0.361
685000,7,32.4338,-4794.8,2.41583,0.33775
690000,8,34.8107,-4791.32,5.23101,0.356
695000,7,26.0333,-4787.48,3.28705,0.331
700000,7,28.7917,-4792.43,2.71521,0.352231
705000,8,36.9268,-4802.38,5.24849,0.369
710000,8,31.7755,-4783.42,2.40573,0.377
715000,9,40.0095,-4788.62,4.05344,0.367
720000,9,36.1109,-4788.83,3.64981,0.38
725000,7,31.9823,-4798.9,3.30504,0.348
730000,6,19.8519,-4807.11,2.79951,0.349
735000,7,21.765,-4805.52,3.02751,0.3616
740000,6,23.598,-4806.88,2.90354,0.344
745000,8,21.457,-4796.18,3.94445,0.32
750000,7,17.7916,-4793.27,5.58834,0.33
755000,9,33.2697,-4801.51,6.546,0.388
760000,7,22.7401,-4790,2.58144,0.3404
765000,7,34.842,-4804.49,1.98828,0.371
770000,9,33.4228,-4797.31,5.41766,0.376
775000,8,31.7018,-4799.11,5.80561,0.379
780000,10,43.5487,-4796,8.29768,0.355
785000,9,36.0605,-4795.42,5.75808,0.366
790000,8,20.4914,-4786.9,3.18089,0.32
795000,8,30.5671,-4791.84,6.18929,0.359
800000,8,30.9017,-4789.11,6.09172,0.382
805000,7,32.1323,-4797.94,3.81824,0.367
810000,11,42.2857,-4784.78,5.74787,0.359
815000,11,45.5112,-4792.95,5.26344,0.375
820000,9,33.3795,-4794.35,3.21024,0.36
825000,12,37.7438,-4784.42,5.30675,0.367
830000,7,23.2836,-4798.87,4.25708,0.367
835000,9,36.0476,-4801.88,6.10827,0.369
840000,7,36.9257,-4807.4,2.08635,0.38
845000,13,46.3947,-4773.38,7.6191,0.413
850000,12,37.8894,-4789.63,7.90028,0.367
855000,10,43.7347,-4792.71,5.27414,0.421
860000,9,34.0325,-4791.66,4.48494,0.36375
865000,10,34.0126,-4787.7,7.07956,0.377
870000,7,28.0356,-4796.42,3.97227,0.372
