original_name,updated_name
Bothroponera_strigulosa_D2436,Bothroponera_strigulosa_D2436_CASENT0821449
Bothroponera_vazimba_BBX471_CASENT0347714,Bothroponera_vazimba_BBX471_CASENT0347714
Bothroponera_wasmanni_D0400,Bothroponera_wasmannii_D0400_CASENT0076787
Brachyponera_chinensis_EX2358,Brachyponera_chinensis_EX2358_CASENT0649763
Brachyponera_lutea_EX3074,Brachyponera_lutea_EX3074_CASENT0650371
Brachyponera_nigrita_EX2685,Brachyponera_nigrita_EX2685_ZRC_HYM_0000557
Brachyponera_obscurans_EX3075,Brachyponera_obscurans_EX3075_CASENT0650372
Brachyponera_pilidorsalis_EX2677,Brachyponera_pilidorsalis_EX2677_ZRC_HYM_0000558
Brachyponera_sennaarensis_D2433,Brachyponera_sennaarensis_D2433_CASENT0815946
Buniapone_amblyops_EX2367,Buniapone_amblyops_EX2367_CASENT0634606
Centromyrmex_alfaroi_EX2320,Centromyrmex_alfaroi_EX2320_INB0003046866
Centromyrmex_brachycola_EX2230,Centromyrmex_brachycola_EX2230_CASENT0646180
Centromyrmex_feae_EX2688,Centromyrmex_feae_EX2688_ZRC_HYM_0000493
Centromyrmex_fugator_D2431,Centromyrmex_fugator_D2431_CASENT0235867
Centromyrmex_hamulatus_EX2669,Centromyrmex_hamulatus_EX2669_ZRC_ENT00047844
Centromyrmex_sellaris_D2430,Centromyrmex_sellaris_D2430_CASENT0817997
Corrieopone_nouragues_EX2212,Corrieopone_nouragues_EX2212_CASENT0645962
Cryptopone_MY07_EX2746,Cryptopone_my07_EX2746_CASENT0700813
Cryptopone_butteli_EX2745,Cryptopone_butteli_EX2745_CASENT0390060
Cryptopone_gilva_EX1194,Cryptopone_gilva_EX1194_CASENT0749266
Cryptopone_gilvagrande_EX1545,Cryptopone_gilvagrande_EX1545_CASENT0614525
Cryptopone_gilvatumida_EX1725,Cryptopone_gilvatumida_EX1725_CASENT0641046
Cryptopone_guatemalensis_EX1191,Cryptopone_guatemalensis_EX1191_CASENT0623898
Cryptopone_ochracea_EX1613,Cryptopone_ochracea_EX1613_CASENT0637778
Cryptopone_rotundiceps_EX3066,Cryptopone_rotundiceps_EX3066_CASENT0650363
Cryptopone_sauteri_EX2691,Cryptopone_sauteri_EX2691_ZRC_ENT00007421
Cryptopone_testacea_EX1180,Cryptopone_testacea_EX1180_CASENT0635385
Cryptopone_typhlos_EX3067,Cryptopone_typhlos_EX3067_CASENT0650364
Diacamma_Janda_sp1_EX3017,Diacamma_mj_sp1_EX3017_CASENT0650195
Diacamma_Timor_01_EX3059,Diacamma_mj_timor01_EX3059_CASENT0650356
Diacamma_geometricum_EX2682,Diacamma_geometricum_EX2682_ZRC_ENT00047849
Diacamma_intricatum_EX2324,Diacamma_intricatum_EX2324_CASENT0634273
Diacamma_leve_EX2560,Diacamma_leve_EX2560_CASENT0887815
Diacamma_magdalenae_EX2692,Diacamma_magdalenae_EX2692_ZRC_ENT00007536
Diacamma_pallidum_D0530,Diacamma_pallidum_D0530_CASENT0106139
Diacamma_rugosum_EX1574,Diacamma_rugosum_EX1574_CASENT0634818
Diacamma_schoedli_EX2561,Diacamma_schoedli_EX2561_CASENT0887816
Diacamma_violaceum_D1990,Diacamma_violaceum_D1990_USNMENT01117448
Dinoponera_longipes_EX1643,Dinoponera_longipes_EX1643_CASENT0004663
Dinoponera_quadriceps_EX2976,Dinoponera_quadriceps_EX2976_CASENT0217519
Dolioponera_fustigera_D0948,Dolioponera_fustigera_D0948_CASENT0412032
Ectomomyrmex_PH02_EX2959,Ectomomyrmex_ph02_EX2959_CASENT0266733
Ectomomyrmex_TH01_EX2961,Ectomomyrmex_th01_EX2961_CASENT0273368
Ectomomyrmex_TH02_EX2962,Ectomomyrmex_th02_EX2962_CASENT0271599
Ectomomyrmex_TH05_EX2740,Ectomomyrmex_th05_EX2740_CASENT0374097
Ectomomyrmex_aciculatus_EX3020,Ectomomyrmex_aciculatus_EX3020_CASENT0650198
Ectomomyrmex_astutus_D2074,Ectomomyrmex_astutus_D2074_CASENT0882082
Ectomomyrmex_janda_sp7_EX3021,Ectomomyrmex_mj_sp7_EX3021_CASENT0650199
Ectomomyrmex_javanus_D2075,Ectomomyrmex_javanus_D2075_CASENT0882083
Ectomomyrmex_leeuwenhoeki_D1151,Ectomomyrmex_leeuwenhoeki_D1151_CASENT0106306
Ectomomyrmex_lobocarenus_EX2957,Ectomomyrmex_lobocarenus_EX2957_CASENT0235335
Ectomomyrmex_punctatus_EX2963,Ectomomyrmex_punctatus_EX2963_CASENT0278864
Ectomomyrmex_sauteri_EX2672,Ectomomyrmex_sauteri_EX2672_ZRC_ENT00007359
Ectomomyrmex_striatulus_D2077,Ectomomyrmex_striatulus_D2077_CASENT0882073
Emeryopone_buttelreepeni_EX2978,Emeryopone_buttelreepeni_EX2978_CASENT0131922
Emeryopone_my01_D0990,Emeryopone_my01_D0990_CASENT0226984
Euponera_AFR01_EX2725,Euponera_afr01_EX2725_CASENT0010958
Euponera_AFR02_EX2733,Euponera_afr02_EX2733_CASENT0135374
Euponera_brunoi_EX2732,Euponera_brunoi_EX2732_CASENT0783100
Euponera_gorogota_MAMI0523_CASENT0166009,Euponera_gorogota_MAMI0523_CASENT0166009
Euponera_haratsingy_MAMI0524_CASENT0195184,Euponera_haratsingy_MAMI0524_CASENT0195184
Euponera_nosy_MAMI0528_CASENT0231239,Euponera_nosy_MAMI0528_CASENT0231239
Euponera_rovana_MAMI0759_CASENT0318041,Euponera_rovana_MAMI0759_CASENT0318041
Euponera_sharpi_EX2325,Euponera_sharpi_EX2325_CASENT0634629
