generation,rank_1,rank_2,swapAccepted
354000,2,4,0
355000,2,4,0
356000,1,3,0
357000,3,4,0
358000,1,2,0
359000,1,2,1
360000,1,4,0
361000,1,2,1
362000,2,3,1
363000,2,3,0
364000,1,2,0
365000,2,3,1
366000,2,4,0
367000,2,4,0
368000,1,3,1
369000,1,2,1
370000,1,2,0
371000,2,3,1
372000,2,3,1
373000,2,3,1
374000,1,2,1
375000,1,3,0
376000,1,4,0
377000,3,4,1
378000,1,3,0
379000,1,2,0
380000,1,3,1
381000,3,4,0
382000,2,3,1
383000,3,4,0
384000,1,4,0
385000,1,3,1
386000,2,3,1
387000,1,3,0
388000,2,3,1
389000,3,4,1
390000,1,2,0
391000,1,4,0
392000,2,4,0
393000,1,4,0
394000,2,3,1
395000,1,2,0
396000,2,3,1
397000,1,2,1
398000,2,4,0
399000,1,4,1
400000,2,3,0
401000,1,4,1
402000,2,3,0
403000,1,3,1
404000,1,2,1
405000,2,3,0
406000,2,4,0
407000,1,3,0
408000,1,3,0
409000,1,3,0
410000,3,4,0
411000,1,4,0
412000,1,3,1
413000,1,2,1
414000,2,3,1
415000,3,4,1
416000,2,4,0
417000,1,2,0
418000,1,4,0
419000,1,3,0
420000,2,4,1
421000,1,4,0
422000,2,3,1
423000,1,3,0
424000,2,4,1
425000,1,2,0
426000,2,3,0
427000,3,4,0
428000,3,4,1
429000,2,4,0
430000,1,2,1
431000,1,4,0
432000,2,4,0
433000,1,4,0
434000,3,4,1
435000,2,3,0
436000,1,4,0
437000,3,4,1
438000,2,4,0
439000,1,2,1
440000,2,3,1
441000,2,3,1
442000,1,4,0
443000,1,2,0
444000,1,2,1
445000,2,3,0
446000,1,4,0
447000,3,4,0
448000,3,4,1
449000,1,3,1
450000,1,2,1
451000,1,3,0
452000,1,4,0
453000,1,3,0
454000,1,4,1
455000,2,4,1
456000,3,4,0
457000,2,4,0
458000,1,4,1
459000,1,4,1
460000,1,3,1
461000,2,3,0
462000,1,4,0
463000,2,4,0
464000,3,4,1
465000,3,4,1
466000,3,4,1
467000,1,4,0
468000,1,4,0
469000,1,4,0
470000,1,2,1
471000,2,4,0
472000,2,3,1
473000,1,3,0
474000,2,4,1
475000,1,2,1
476000,1,4,1
477000,2,4,0
478000,1,3,1
479000,2,3,0
480000,1,2,1
481000,1,3,0
482000,1,2,1
483000,2,3,0
484000,2,3,0
485000,1,3,0
486000,1,3,0
487000,2,4,0
488000,1,4,0
489000,1,2,1
490000,3,4,1
491000,2,4,0
492000,1,3,0
493000,3,4,1
494000,3,4,0
495000,3,4,1
496000,1,3,0
497000,2,3,0
498000,2,4,0
499000,1,4,0
500000,1,3,0
501000,3,4,1
502000,1,4,0
503000,1,2,0
504000,2,4,0
505000,1,3,0
506000,2,4,0
507000,1,3,0
508000,2,4,0
509000,1,2,0
510000,1,4,0
511000,2,4,0
512000,1,4,0
513000,2,3,1
514000,1,2,0
515000,1,3,0
516000,1,3,0
517000,2,4,0
518000,2,3,1
519000,3,4,0
520000,1,2,0
521000,1,2,0
522000,1,2,1
523000,1,4,0
