generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.95424,-5566.35,1.32864,1
5000,1,6.49656,-5520.86,1.59073,0.241
10000,2,6.86049,-5334.26,1.5588,0.145
15000,4,17.9249,-5313.7,4.44118,0.254
20000,7,29.637,-5298.92,5.90947,0.26
25000,10,43.7155,-5255.64,5.68773,0.322
30000,9,38.2402,-5251.29,7.58257,0.287
35000,9,36.6541,-5255.59,14.3865,0.322
40000,10,32.9089,-5247.69,10.0828,0.323
45000,13,53.8141,-5231.84,17.3821,0.35
50000,13,58.433,-5223.45,11.2943,0.329
55000,11,49.3047,-5232.1,9.61999,0.382
60000,14,56.5509,-5227.85,10.2159,0.368
65000,10,41.6865,-5231.3,9.49013,0.346
70000,15,61.6307,-5213.92,15.7897,0.382
75000,10,42.9574,-5237.25,4.57717,0.365
80000,16,66.8814,-5212.96,11.6352,0.373
85000,16,69.9106,-5207.05,14.9739,0.339
90000,21,89.5963,-5209.45,15.9277,0.406
95000,16,68.675,-5199.94,18.8436,0.391
100000,15,65.5841,-5220.34,10.8922,0.335
105000,13,54.1019,-5219.55,18.3358,0.385
110000,14,55.1592,-5217.51,13.7422,0.339
115000,13,59.1854,-5231.6,9.33881,0.345
120000,17,75.8126,-5228.3,16.1433,0.411
125000,12,46.8814,-5234.9,8.23708,0.276789
130000,17,60.4805,-5209.82,14.3077,0.383
135000,12,56.44,-5233.5,10.4486,0.33189
140000,13,56.2149,-5229.5,8.95761,0.409
145000,21,85.0894,-5201.57,22.6614,0.385
150000,19,76.1741,-5198.14,21.2048,0.375
155000,18,73.9117,-5209.17,14.4512,0.369
160000,18,72.3223,-5206.5,10.9718,0.368
165000,19,76.8603,-5210.31,20.5836,0.347
170000,18,70.3267,-5215,27.4829,0.366
175000,18,77.3035,-5209.52,13.2413,0.381
180000,19,81.4452,-5210.67,13.4082,0.383
185000,18,77.9071,-5211.12,21.7381,0.385
190000,20,78.6294,-5210.02,13.1001,0.37
195000,15,64.5891,-5229.78,8.86831,0.367
200000,16,69.6578,-5228.92,16.169,0.352
205000,14,54.768,-5224.26,15.7902,0.354
210000,13,51.0609,-5224.26,9.43901,0.32
215000,14,51.3458,-5205.82,7.63609,0.368
220000,17,63.8163,-5209.38,10.9571,0.328
225000,16,60.3797,-5206.08,14.8943,0.338
230000,16,69.8725,-5214.71,11.528,0.393
235000,12,48.2745,-5225.43,8.88481,0.351
240000,14,58.1463,-5216.47,17.2086,0.37
245000,14,62.411,-5221.4,9.35544,0.389
250000,12,44.7097,-5223.15,15.0895,0.345
255000,16,58.6888,-5220.88,15.6199,0.386
260000,20,72.66,-5218.39,17.0056,0.384
265000,18,75.1208,-5226.8,16.8047,0.385
270000,16,62.9462,-5224.41,8.89585,0.375
275000,11,45.744,-5223.98,15.0971,0.350212
