generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.56368,-5566.35,0.265727,1
5000,1,7.02547,-5520.86,1.39868,0.239
10000,1,1.89487,-5395.21,1.57576,0.123
15000,3,14.3317,-5372.72,2.87903,0.289
20000,4,17.5081,-5298.98,4.19792,0.327714
25000,6,23.5071,-5311.94,2.46702,0.34
30000,5,18.8863,-5311.26,1.94865,0.317
35000,6,22.1988,-5302.24,3.18508,0.308
40000,3,12.8177,-5308.31,1.07939,0.249
45000,7,32.1612,-5274.73,3.35693,0.321
50000,9,38.8081,-5269.48,4.25136,0.319
55000,11,46.2514,-5255.39,7.86254,0.354
60000,9,39.9311,-5238.66,6.15814,0.318
65000,9,39.2499,-5246.72,4.86313,0.3
70000,8,36.1772,-5254.34,4.42552,0.295
75000,6,29.6195,-5281.89,1.37363,0.34
80000,8,35.7354,-5250.99,6.20062,0.317
85000,8,30.7367,-5247.68,7.1964,0.293
90000,12,54.691,-5244.32,3.93427,0.394
95000,10,43.2194,-5238.7,4.18117,0.347
100000,12,53.1161,-5240.64,3.99965,0.351
105000,12,47.8093,-5240.51,7.24445,0.382
110000,12,45.2629,-5234.91,5.75638,0.34
115000,11,51.0635,-5228.88,4.05354,0.324
120000,16,58.5555,-5224.58,18.3236,0.376
125000,17,63.2132,-5222.49,9.73552,0.385
130000,15,59.6871,-5211.07,8.65391,0.366
135000,14,52.8096,-5208.96,10.9908,0.362
140000,16,67.7739,-5205.81,7.16944,0.387
145000,16,67.0532,-5207.04,8.24904,0.384
150000,15,64.1976,-5211.38,6.34038,0.383
155000,13,57.6155,-5204.5,4.56666,0.367
160000,19,78.7754,-5210.19,9.76426,0.395
165000,15,58.3627,-5209.38,7.03878,0.357
170000,14,64.2861,-5214.61,6.34677,0.4
175000,13,54.0503,-5207.48,6.77134,0.38
180000,13,60.0625,-5206.06,3.53041,0.363
185000,14,61.129,-5235.51,5.90553,0.386
190000,12,49.1622,-5234.65,5.34738,0.381
195000,12,53.0167,-5223.4,4.31426,0.333
200000,12,51.9668,-5233.44,4.99984,0.349
205000,12,54.6231,-5224.91,5.3716,0.348
210000,12,52.7899,-5225.04,6.25114,0.341
215000,15,61.0381,-5206.94,7.72832,0.413
220000,16,68.2606,-5215.25,7.40641,0.380667
225000,14,53.7947,-5213.81,9.59002,0.339
230000,13,54.5082,-5216.16,3.81618,0.359
235000,13,56.1302,-5225.87,5.82948,0.372
240000,12,53.6446,-5211.96,4.93968,0.387
245000,13,58.3058,-5211.16,5.69551,0.357
250000,14,62.8585,-5215.97,3.72562,0.368
255000,15,63.0332,-5215.47,9.54703,0.336
260000,13,53.1849,-5218.1,10.9388,0.369
265000,12,49.4825,-5232.14,4.26996,0.361
270000,13,49.2038,-5219.53,8.422,0.359
275000,13,49.8904,-5220.5,10.3474,0.348
280000,13,49.7135,-5212.31,5.27768,0.345
285000,13,52.5681,-5209.72,5.65195,0.356
290000,15,55.1052,-5215.24,7.32224,0.358
295000,15,60.6443,-5216.59,7.44678,0.371
300000,14,56.1224,-5215.72,6.9721,0.36
305000,12,44.8234,-5223.67,10.0387,0.373
310000,11,46.1198,-5217.63,4.68167,0.344
315000,11,41.2379,-5221.81,10.5051,0.361
320000,12,47.4981,-5224.47,7.36345,0.303
325000,12,44.3792,-5240.81,10.4036,0.34266
330000,13,45.2831,-5230,8.43626,0.355
335000,13,53.9926,-5219.96,7.21134,0.373
340000,11,41.6428,-5231.96,6.24988,0.341
345000,14,40.4673,-5228.97,9.18564,0.37
350000,12,46.5916,-5223.13,4.57667,0.359
355000,16,51.2529,-5211.52,12.225,0.383
360000,16,61.736,-5204.16,8.91637,0.349
365000,14,50.8815,-5232.88,8.63542,0.372
370000,13,49.531,-5207.75,6.71978,0.363
375000,13,60.4408,-5218.66,2.88102,0.39
380000,13,28.5495,-5225.2,6.91433,0.360929
385000,13,57.5062,-5213,4.85311,0.3615
390000,13,40.769,-5232.12,8.3064,0.343
395000,16,67.7495,-5217.62,8.4392,0.355
400000,13,57.9378,-5218.39,7.95871,0.359
405000,14,54.8938,-5217.91,7.00278,0.369
410000,15,63.7224,-5216.43,10.9975,0.368
415000,15,59.5125,-5213.24,10.9489,0.384
420000,14,58.3852,-5208.27,7.65374,0.342
425000,16,68.0181,-5221.34,7.68669,0.408
430000,16,64.976,-5208.97,9.39712,0.392
435000,15,66.4049,-5220.49,5.02849,0.364
440000,14,48.5056,-5218.59,6.94176,0.36
445000,12,50.395,-5229.1,6.0249,0.357333
450000,11,44.1773,-5226.67,6.26877,0.351
455000,12,46.8179,-5233.72,6.96833,0.397
460000,13,52.8681,-5232.47,4.17463,0.352
465000,11,42.6742,-5239,7.35978,0.326
470000,13,56.5513,-5233.27,5.6423,0.373
475000,11,43.1406,-5223.44,7.87538,0.38
480000,12,50.8145,-5227.73,4.46967,0.383
485000,12,46.4797,-5216.17,10.9486,0.364
490000,16,56.0712,-5221.56,7.93037,0.361
495000,12,54.3677,-5224.2,2.87962,0.373
500000,11,42.6831,-5226.57,8.53557,0.3458
505000,13,56.1716,-5226.37,6.19205,0.331
510000,13,57.4353,-5212.82,7.08345,0.358
