generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,4,1
3000,3,4,1
4000,1,3,1
5000,3,4,1
6000,1,3,0
7000,1,3,1
8000,3,4,1
9000,1,3,1
10000,3,4,1
11000,2,4,1
12000,2,3,1
13000,1,3,1
14000,1,4,1
15000,1,3,1
16000,3,4,1
17000,1,2,1
18000,2,3,1
19000,3,4,1
20000,1,2,1
21000,2,4,1
22000,2,3,1
23000,2,4,1
24000,1,3,1
25000,3,4,0
26000,1,3,1
27000,3,4,1
28000,3,4,1
29000,2,3,1
30000,1,3,0
31000,1,2,1
32000,2,3,1
33000,1,2,0
34000,1,3,1
35000,1,3,0
36000,2,4,1
37000,1,4,0
38000,1,2,0
39000,1,2,0
40000,3,4,1
41000,1,2,0
42000,2,4,1
43000,2,3,0
44000,1,3,0
45000,1,4,0
46000,1,4,0
47000,3,4,1
48000,1,3,0
49000,1,4,0
50000,1,2,1
51000,2,3,0
52000,2,3,0
53000,1,2,1
54000,2,4,0
55000,1,3,0
56000,2,3,0
57000,1,4,0
58000,2,4,0
59000,3,4,1
60000,2,4,0
61000,1,4,0
62000,1,3,0
63000,1,3,0
64000,3,4,0
65000,2,3,0
66000,3,4,1
67000,2,4,0
68000,1,2,0
69000,2,3,1
70000,1,3,1
71000,2,4,1
72000,1,2,0
73000,2,3,1
74000,1,2,1
75000,1,4,0
76000,3,4,1
77000,2,3,1
78000,1,3,0
79000,1,2,0
80000,3,4,0
81000,2,4,0
82000,1,3,0
83000,1,4,0
84000,2,4,0
85000,1,2,0
86000,3,4,0
87000,3,4,1
88000,3,4,1
89000,1,4,0
90000,1,4,0
91000,1,4,0
92000,1,2,1
93000,2,3,1
94000,2,4,1
95000,1,3,1
96000,3,4,0
97000,2,3,1
98000,1,3,0
99000,3,4,1
100000,1,3,0
101000,1,3,0
102000,2,4,0
103000,1,4,0
104000,2,4,0
105000,2,3,1
106000,1,4,0
107000,2,4,0
108000,2,3,1
109000,1,4,0
110000,1,2,0
111000,1,4,0
112000,3,4,0
113000,2,4,0
114000,3,4,1
115000,2,4,1
116000,1,4,0
117000,1,3,0
118000,1,2,0
119000,2,3,0
120000,3,4,1
121000,1,2,0
122000,1,4,0
123000,1,4,0
124000,2,4,0
125000,2,3,1
126000,3,4,0
127000,1,2,1
128000,2,4,0
129000,1,3,0
130000,1,3,0
131000,1,2,1
132000,2,3,0
133000,2,4,0
134000,1,4,0
135000,1,4,0
136000,2,4,0
137000,1,3,0
138000,2,4,0
139000,3,4,1
140000,2,4,1
141000,1,2,0
142000,1,3,0
143000,3,4,1
144000,1,3,0
145000,1,4,0
146000,2,3,1
147000,2,3,1
148000,1,4,0
149000,2,3,1
150000,1,2,0
151000,1,2,1
152000,2,4,0
153000,1,4,0
154000,3,4,0
155000,1,2,1
156000,3,4,1
157000,2,3,0
158000,2,4,0
159000,2,4,1
160000,1,4,0
161000,2,3,0
162000,2,3,0
163000,1,4,0
164000,2,3,1
165000,2,3,1
166000,1,3,0
167000,1,3,0
168000,3,4,1
169000,1,3,1
170000,1,2,1
171000,2,3,1
172000,3,4,0
173000,3,4,0
174000,1,3,1
175000,1,3,0
176000,1,4,0
177000,2,4,0
178000,2,4,0
179000,3,4,0
180000,1,2,1
181000,3,4,1
182000,1,3,0
183000,1,4,0
184000,1,4,0
185000,3,4,1
186000,2,3,1
187000,2,3,1
188000,1,2,1
189000,1,2,0
190000,2,3,0
191000,1,3,0
192000,1,3,0
193000,3,4,1
194000,1,4,0
195000,1,4,0
196000,2,4,1
197000,1,4,0
198000,2,4,1
199000,3,4,1
200000,1,4,0
201000,3,4,0
202000,1,3,0
203000,1,4,0
204000,1,3,0
205000,2,3,1
206000,1,4,0
207000,1,4,0
208000,1,3,0
209000,1,2,1
210000,2,3,0
211000,1,4,0
212000,3,4,1
213000,2,4,1
214000,2,4,0
215000,1,2,1
216000,3,4,1
217000,1,3,0
218000,2,3,1
219000,1,3,0
220000,1,2,1
221000,2,3,1
222000,3,4,1
223000,1,2,1
224000,3,4,1
225000,2,4,0
226000,2,4,0
227000,2,3,1
228000,3,4,1
229000,3,4,1
230000,3,4,0
231000,2,3,1
232000,1,2,1
233000,1,3,0
234000,2,4,0
235000,1,3,0
236000,3,4,1
237000,1,4,0
238000,1,3,0
239000,3,4,0
240000,1,4,0
241000,3,4,0
242000,1,3,0
243000,1,2,1
244000,3,4,0
245000,1,2,1
246000,2,4,0
247000,1,2,0
248000,1,3,0
249000,1,3,0
250000,1,2,0
251000,2,3,1
252000,1,2,0
253000,1,3,0
254000,1,4,0
255000,1,2,0
256000,1,3,0
257000,2,4,0
258000,3,4,0
259000,1,3,1
260000,2,4,0
261000,2,4,0
262000,1,3,1
263000,1,4,0
264000,1,2,1
265000,1,4,0
266000,3,4,0
267000,1,3,0
268000,3,4,0
269000,1,4,0
270000,1,3,0
271000,3,4,0
272000,2,4,0
273000,1,3,1
274000,1,2,1
275000,3,4,0
276000,1,4,1
277000,3,4,0
278000,2,4,1
279000,1,3,1
280000,2,4,0
281000,1,2,1
282000,1,3,0
283000,1,3,0
284000,3,4,1
285000,2,3,1
286000,1,4,0
287000,2,4,0
288000,1,3,1
289000,2,3,1
290000,1,4,0
291000,2,3,1
292000,1,2,1
293000,3,4,1
294000,2,3,0
295000,2,3,0
296000,2,4,1
297000,1,4,1
298000,2,4,1
299000,1,3,0
300000,2,4,1
301000,2,3,0
302000,1,2,1
303000,1,2,1
304000,1,2,1
305000,1,2,0
306000,2,4,1
307000,1,3,1
308000,2,4,0
309000,2,4,1
310000,1,4,1
311000,1,4,0
312000,2,4,1
313000,1,2,0
314000,3,4,0
315000,1,2,1
316000,2,3,1
317000,3,4,0
318000,2,3,0
319000,1,3,1
320000,2,3,0
321000,3,4,0
322000,3,4,1
323000,2,3,1
324000,2,4,1
325000,2,3,1
326000,3,4,1
327000,3,4,1
328000,1,2,1
329000,1,4,0
330000,3,4,1
331000,2,4,1
332000,1,3,0
333000,3,4,1
334000,1,3,0
335000,1,3,1
336000,1,4,0
337000,2,3,1
338000,2,3,1
339000,1,3,0
340000,1,3,1
341000,2,4,1
342000,3,4,1
343000,1,4,1
344000,1,4,1
345000,1,3,0
346000,1,3,0
347000,1,3,0
348000,1,4,0
349000,3,4,1
350000,1,4,0
