generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,4,0
3000,2,3,0
4000,1,2,1
5000,2,3,1
6000,1,2,0
7000,1,2,1
8000,2,3,1
9000,1,2,1
10000,2,3,1
11000,3,4,1
12000,2,4,0
13000,1,4,0
14000,3,4,1
15000,1,4,0
16000,3,4,0
17000,1,2,1
18000,2,3,0
19000,2,4,0
20000,1,3,0
21000,1,2,0
22000,2,4,0
23000,1,4,0
24000,2,3,0
25000,3,4,1
26000,2,4,0
27000,2,3,0
28000,2,3,1
29000,1,3,0
30000,1,4,0
31000,3,4,0
32000,1,4,0
33000,1,3,0
34000,3,4,0
35000,3,4,1
36000,1,2,0
37000,1,3,0
38000,2,3,1
39000,2,3,0
40000,1,4,0
41000,2,3,0
42000,3,4,1
43000,1,3,0
44000,1,2,0
45000,2,4,0
46000,2,4,0
47000,1,4,0
48000,2,4,0
49000,1,2,0
50000,2,3,1
51000,3,4,0
52000,3,4,0
53000,2,3,1
54000,1,3,0
55000,2,4,0
56000,3,4,0
57000,1,2,0
58000,1,3,0
59000,1,4,0
60000,3,4,0
61000,2,4,0
62000,1,2,0
63000,1,2,0
64000,1,4,0
65000,1,3,0
66000,1,4,0
67000,1,3,0
68000,2,3,1
69000,2,4,0
70000,2,3,1
71000,1,4,0
72000,1,3,0
73000,1,2,0
74000,2,3,1
75000,3,4,0
76000,1,4,0
77000,2,4,0
78000,2,3,1
79000,2,4,0
80000,1,3,0
81000,1,4,0
82000,2,3,1
83000,1,3,0
84000,1,4,0
85000,3,4,0
86000,1,2,0
87000,1,2,0
88000,1,2,0
89000,1,3,0
90000,1,3,0
91000,1,3,0
92000,3,4,1
93000,2,4,1
94000,1,4,0
95000,2,3,0
96000,3,4,0
97000,1,3,0
98000,1,2,0
99000,1,4,0
100000,2,4,0
101000,2,4,0
102000,1,3,0
103000,1,2,0
104000,1,3,0
105000,3,4,0
106000,1,2,0
107000,1,4,0
108000,3,4,0
109000,1,2,1
110000,1,3,0
111000,1,2,1
112000,1,4,0
113000,1,3,0
114000,1,4,0
115000,3,4,0
116000,2,3,0
117000,1,2,1
118000,1,4,0
119000,2,4,0
120000,2,3,0
121000,1,4,0
122000,1,2,1
123000,1,2,1
124000,2,4,0
125000,3,4,0
126000,2,4,0
127000,1,3,0
128000,1,2,0
129000,3,4,0
130000,3,4,0
131000,1,3,0
132000,3,4,0
133000,2,3,0
134000,1,2,0
135000,1,2,1
136000,1,3,0
137000,2,4,0
138000,1,3,0
139000,1,4,0
140000,3,4,1
141000,2,3,0
142000,1,2,1
143000,2,4,1
144000,1,2,0
145000,1,4,0
146000,2,3,0
147000,2,3,1
148000,1,4,0
149000,2,3,1
150000,1,2,0
151000,1,2,1
152000,2,4,0
153000,1,4,0
154000,3,4,1
155000,1,2,1
156000,3,4,1
157000,2,4,0
158000,2,3,0
159000,2,3,1
160000,1,3,0
161000,2,4,1
162000,2,4,0
163000,1,3,0
164000,2,4,1
165000,2,4,1
166000,1,2,0
167000,1,2,0
168000,2,3,1
169000,1,2,1
170000,1,4,0
171000,1,2,1
172000,2,3,1
173000,2,3,1
174000,2,4,0
175000,2,4,0
176000,2,3,0
177000,1,3,0
178000,1,3,0
179000,3,4,0
180000,1,2,0
181000,3,4,0
182000,1,3,0
183000,1,4,0
184000,1,4,0
185000,3,4,0
186000,2,4,0
187000,2,4,0
188000,1,2,1
189000,1,2,0
190000,2,4,0
191000,1,4,0
192000,1,4,0
193000,3,4,1
194000,1,3,0
195000,1,3,0
196000,2,3,0
197000,1,2,1
198000,1,3,0
199000,3,4,1
200000,2,3,0
201000,3,4,1
202000,2,3,0
203000,2,4,0
204000,2,3,0
205000,1,3,0
206000,2,4,0
207000,2,4,0
208000,1,2,0
209000,2,3,0
210000,1,2,0
211000,3,4,1
212000,1,3,0
213000,1,2,0
214000,1,2,1
215000,2,4,0
216000,1,3,1
217000,2,3,1
218000,2,4,0
219000,3,4,0
220000,2,3,1
