generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
40000,Platythyrea_afrc_tz01,Platythyrea_mg04,19.9215,0.0708586,-0.00709262,0.0369875,0
45000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.15586,-0.00136484,0.11241,0
45000,Odontomachus_bauri,Odontomachus_hastatus,33.0718,0.0930783,-0.024737,0.0159138,0
45000,Leptogenys_afr01,Leptogenys_pe02,81.6793,0.375604,0.00956856,0.284984,0
45000,Leptogenys_afr01,Myopias_bg02,67.2623,0.165712,0.00555297,0.0915965,0
45000,Boloponera_ikemkha,Loboponera_afrc_gh01,78.6407,0.267177,-0.00844484,0.144667,0
45000,Hypoponera_mg024,Hypoponera_sc_amba,96.3091,0.112011,-0.00185853,0.0306842,0
45000,Hypoponera_mg024,Hypoponera_mg025,103.801,0.37097,-0.0135899,0.0740476,0
45000,Hypoponera_mj_fogo07,Hypoponera_sky_f,100.096,0.269071,-0.000623113,0.0785018,0
45000,Hypoponera_dias12,Hypoponera_dias14,63.8587,0.110959,0.025911,0.109135,0
45000,Anochetus_afr01,Boloponera_ikemkha,2.15748,0.121547,-0.00562515,0.0291279,0
45000,Belonopelta_attenuata,Simopelta_jtl003,1.75466,0.114514,-0.0116257,0.0314778,0
45000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,6.49432,0.0761088,-0.0106137,0.0175726,0
50000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.124632,0.000118152,0.0642383,0
50000,Odontomachus_bauri,Odontomachus_chelifer,35.623,0.103123,-0.0301139,0.00479866,0
50000,Leptogenys_afr01,Leptogenys_pe02,80.9035,0.416662,0.0105826,0.375183,0
50000,Leptogenys_afr01,Myopias_bg02,68.2246,0.141562,0.0057517,0.071528,0
50000,Hagensia_havilandi_marleyi,Hagensia_peringueyi,70.3526,0.0496094,-0.00450174,0.011874,0
50000,Simopelta_anomma,Simopelta_pergandei,32.6343,0.0781132,-0.00644596,0.0422087,0
50000,Boloponera_ikemkha,Plectroctena_cristata,82.3115,0.173578,0.00848992,0.090111,0
50000,Hypoponera_mg024,Hypoponera_sakalava,93.4906,0.244382,-0.00387546,0.00880667,0
50000,Hypoponera_mj_fogo07,Hypoponera_sky_f,99.4926,0.241417,0.0155785,0.0583661,0
50000,Hypoponera_cn01,Hypoponera_dias10,47.121,0.069314,0.0126395,0.0232521,0
50000,Anochetus_afr01,Boloponera_ikemkha,9.10819,0.0846551,-0.00562515,0.0125947,0
50000,Belonopelta_attenuata,Simopelta_jtl003,2.001,0.100992,-0.0116257,0.0271645,0
50000,Platythyrea_afrc_tz01,Platythyrea_mg04,18.7568,0.0488059,-0.0061928,0.00551604,0
50000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,0.0936815,0.047507,-0.011879,0.0288849,0
55000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.10624,0.000118152,0.0371769,0
55000,Anochetus_th01,Anochetus_boltoni,83.1508,0.111826,0.0186296,0.0322222,0
55000,Odontomachus_bauri,Odontomachus_hastatus,32.3507,0.0942719,-0.0280265,0.0107554,0
55000,Leptogenys_afr01,Leptogenys_pe02,84.6016,0.464329,0.0105286,0.450189,0
55000,Leptogenys_afr01,Myopias_bg02,67.0335,0.126306,0.00224688,0.0265726,0
55000,Boloponera_ikemkha,Plectroctena_cristata,88.2804,0.206608,-0.000259737,0.00311855,0
55000,Hypoponera_mg024,Hypoponera_mg025,100.922,0.232743,-0.00493662,0.0567069,0
55000,Hypoponera_mg024,Hypoponera_mg025,100.942,0.215383,0.0175984,0.0779782,0
55000,Hypoponera_mj_fogo07,Hypoponera_sky_f,99.1877,0.366449,-0.00724906,0.0979687,0
55000,Hypoponera_psw_my01,Hypoponera_assmuthi,109.039,0.0934578,-0.00520618,0.0468689,0
55000,Hypoponera_cn01,Hypoponera_dias10,45.5644,0.0588527,0.00800265,0.0170104,0
55000,Anochetus_afr01,Boloponera_ikemkha,10.4261,0.0817183,-0.00562515,0.00265425,0
55000,Belonopelta_attenuata,Simopelta_jtl003,2.62824,0.109597,-0.0116257,0.0335547,0
55000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,13.4151,0.135112,-0.00660143,0.0744809,0
60000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.104186,-0.000931946,0.0273052,0
60000,Anochetus_th01,Anochetus_boltoni,92.5951,0.137696,-0.0103351,0.0486173,0
60000,Anochetus_emarginatus,Anochetus_kempfi,77.5909,0.0537336,0.00514164,0.0390557,0
60000,Odontomachus_chelifer,Odontomachus_affinis,60.8045,0.349506,-0.0267454,0.135239,0
60000,Odontomachus_bauri,Odontomachus_hastatus,32.4901,0.14003,-0.0197956,0.0326647,0
60000,Leptogenys_afr01,Leptogenys_pe02,83.2231,0.468486,0.0102699,0.397313,0
60000,Leptogenys_afr01,Myopias_bg02,66.9511,0.11944,0.015481,0.0909691,0
60000,Plectroctena_cristata,Plectroctena_ugandensis,99.5732,0.171279,-0.00302825,0.00423462,0
60000,Hypoponera_mg024,Hypoponera_sakalava,94.0112,0.169276,0.00832351,0.0192072,0
60000,Hypoponera_mj_fogo07,Hypoponera_psw_my10,97.0819,0.292338,-0.0018595,0.0885589,0
60000,Odontomachus_cephalotes,Odontomachus_testaceus,61.9809,0.0510724,-0.00536156,0.024635,0
60000,Hypoponera_afrc_tz06,Hypoponera_cn01,32.7786,0.0703727,0.00303044,0.00929416,0
60000,Anochetus_afr01,Boloponera_ikemkha,8.27662,0.0919897,-0.00562515,0.00722595,0
60000,Belonopelta_attenuata,Simopelta_jtl003,1.98737,0.0976044,-0.0138651,0.0165487,0
60000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,7.99049,0.0659708,-0.00660143,0.019066,0
65000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.128937,-0.000931946,0.0673026,0
65000,Anochetus_th01,Anochetus_boltoni,95.674,0.371522,0.00189683,0.281489,0
65000,Odontomachus_chelifer,Odontomachus_affinis,96.0891,0.0170573,0.0292014,0.0206988,0
65000,Odontomachus_bauri,Odontomachus_hastatus,31.4839,0.0818071,-0.0247147,0.00992439,0
65000,Leptogenys_afr01,Leptogenys_pe02,82.4324,0.458081,0.0107097,0.389701,0
65000,Leptogenys_afr01,Myopias_bg02,67.3285,0.104324,0.00794502,0.0223012,0
65000,Plectroctena_cristata,Plectroctena_ugandensis,99.7142,0.228113,-0.00199694,0.0741172,0
65000,Hypoponera_casc_mz25,Hypoponera_ug10,95.8881,0.175638,0.0218747,0.189836,0
65000,Hypoponera_mg024,Hypoponera_sc_amba,98.9681,0.215379,0.0141108,0.055119,0
65000,Hypoponera_mj_fogo07,Hypoponera_sky_f,99.944,0.316947,0.00737919,0.0359821,0
65000,Hypoponera_cn01,Hypoponera_dias10,47.7509,0.0689794,0.00303044,0.000826442,0
65000,Anochetus_afr01,Boloponera_ikemkha,11.2006,0.0943536,-0.00562515,0.00399222,0
65000,Belonopelta_attenuata,Simopelta_jtl003,2.5412,0.105119,-0.0138651,0.0198022,0
65000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,12.9834,0.0533678,-0.00514264,0.0210911,0
70000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.136173,-0.000844764,0.0703606,0
70000,Anochetus_boltoni,Anochetus_paripungens,99.484,0.174242,-0.00664053,0.0520187,0
70000,Odontomachus_bauri,Odontomachus_chelifer,35.6023,0.0576244,-0.0111184,0.0215014,0
70000,Leptogenys_afr01,Leptogenys_pe02,83.3028,0.468285,0.011288,0.419335,0
70000,Leptogenys_afr01,Myopias_bg02,67.9644,0.127387,0.000261742,0.0574401,0
70000,Plectroctena_cristata,Plectroctena_ugandensis,100.379,0.154887,0.0228429,0.0848944,0
70000,Hypoponera_mg024,Hypoponera_mg025,101.904,0.418559,-0.00500525,0.0664643,0
70000,Hypoponera_mj_fogo07,Hypoponera_sky_f,99.7479,0.341397,-0.000381938,0.00712501,0
70000,Hypoponera_dias10,Hypoponera_dias12,52.1409,0.0882386,0.00414014,0.0680088,0
70000,Anochetus_afr01,Boloponera_ikemkha,6.68805,0.0982648,-0.00562515,0.00534863,0
70000,Belonopelta_attenuata,Simopelta_jtl003,1.9075,0.121135,-0.0138651,0.0245608,0
70000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,1.17716,0.105624,-0.0116078,0.0214701,0
75000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.136644,-0.000844764,0.0704472,0
75000,Anochetus_th01,Anochetus_ghilianii,81.4951,0.117736,-0.00697477,0.0173253,0
75000,Odontomachus_bauri,Odontomachus_hastatus,33.6708,0.0600664,-0.0145781,0.00518544,0
75000,Leptogenys_afr01,Leptogenys_pe02,80.8199,0.42603,0.011288,0.382702,0
75000,Leptogenys_afr01,Myopias_bg02,67.5979,0.159986,-0.00674821,0.0237395,0
75000,Plectroctena_cristata,Plectroctena_ugandensis,97.776,0.440396,0.014424,0.145529,0
75000,Hypoponera_mg024,Hypoponera_mg025,101.939,0.236814,0.0172977,0.0149187,0
75000,Hypoponera_mj_fogo07,Hypoponera_sky_f,100.31,0.316282,0.00461675,0.00136476,0
75000,Hypoponera_dias12,Hypoponera_dias14,62.7642,0.0966228,0.0108346,0.0586477,0
75000,Anochetus_afr01,Boloponera_ikemkha,6.54969,0.0869098,-0.00562515,0.00506041,0
75000,Belonopelta_attenuata,Simopelta_jtl003,1.76511,0.122205,-0.0138651,0.0295536,0
75000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,5.23415,0.1331,-0.0105199,0.0333675,0
80000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.143492,-0.000844764,0.0866233,0
80000,Anochetus_th01,Anochetus_boltoni,93.6272,0.221733,0.0139234,0.0416389,0
80000,Odontomachus_bauri,Odontomachus_chelifer,36.3732,0.073289,-0.0182164,0.0127146,0
80000,Leptogenys_afr01,Leptogenys_pe02,83.0576,0.375618,0.00999018,0.291674,0
80000,Leptogenys_afr01,Myopias_bg02,66.3951,0.185978,-0.00674821,0.0876016,0
80000,Boloponera_ikemkha,Plectroctena_cristata,89.7767,0.192149,0.00264214,0.0913024,0
80000,Hypoponera_mg024,Hypoponera_sakalava,93.0049,0.138175,0.00382434,0.0236753,0
80000,Hypoponera_mj_fogo07,Hypoponera_psw_my10,94.0675,0.219359,0.0105154,0.0038429,0
80000,Hypoponera_dias10,Hypoponera_foeda,88.9835,0.15053,0.00693602,0.0015692,0
80000,Hypoponera_psw_my01,Hypoponera_assmuthi,103.62,0.124693,0.0045377,0.231968,0
80000,Hypoponera_dias12,Hypoponera_dias14,58.0945,0.123303,-0.00100817,0.0684233,0
80000,Anochetus_afr01,Boloponera_ikemkha,8.57815,0.0831374,-0.00562515,0.00360771,0
80000,Belonopelta_attenuata,Simopelta_jtl003,1.87436,0.127344,-0.0138651,0.0310422,0
80000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,12.1555,0.137997,-0.0145015,0.0378762,0
85000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.131665,-0.000844764,0.0746692,0
85000,Anochetus_th01,Anochetus_boltoni,95.296,0.272176,-0.011834,0.0886855,0
85000,Odontomachus_bauri,Odontomachus_hastatus,32.3813,0.0350435,-0.0100009,0.00927062,0
85000,Corrieopone_nouragues,Mesoponera_flavopilosa,105.894,0.108757,0.00250086,0.0173371,0
85000,Leptogenys_afr01,Leptogenys_pe02,82.2996,0.346652,0.0125353,0.219954,0
85000,Leptogenys_afr01,Myopias_bg02,68.1339,0.219796,-0.00561106,0.0831958,0
85000,Boloponera_ikemkha,Plectroctena_cristata,96.0154,0.235921,0.0124251,0.048767,0
85000,Hypoponera_mg024,Hypoponera_sc_amba,98.4898,0.211242,-0.000452205,0.00132749,0
85000,Hypoponera_mj_fogo07,Hypoponera_sky_f,99.9492,0.309018,0.0113199,0.0408943,0
