generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.26109,-5566.35,2.65727,1
5000,1,5.86667,-5520.86,2.54895,0.239
10000,2,6.22859,-5334.26,2.50513,0.153
15000,3,12.4405,-5316.98,3.38028,0.243
20000,7,29.4952,-5298.92,6.30488,0.267
25000,10,43.5339,-5255.64,6.26016,0.322
30000,9,38.7337,-5251.71,9.16686,0.33
35000,12,50.6759,-5264.44,6.80446,0.332
40000,10,40.528,-5242.27,9.04458,0.289
45000,11,44.9253,-5237.33,6.75292,0.313
50000,13,60.2872,-5229.69,9.75997,0.32
55000,13,56.2827,-5224.71,11.3912,0.357
60000,14,62.2174,-5236.24,15.0402,0.338
65000,13,51.8442,-5222.9,15.8023,0.34
70000,11,47.7105,-5231.59,8.48586,0.334
75000,11,47.6665,-5227.89,6.35029,0.34
80000,13,59.1003,-5227.03,9.13387,0.358
85000,15,70.121,-5230.39,11.6957,0.304
90000,24,98.9171,-5208.27,35.3853,0.411
95000,17,74.2829,-5211.21,18.4312,0.356
100000,20,83.7639,-5216.88,18.061,0.366
105000,15,60.4425,-5216.67,20.6552,0.354
110000,16,66.0124,-5219.7,18.1314,0.361
115000,13,49.9304,-5218.91,19.8083,0.325
120000,20,82.8851,-5224.21,19.14,0.386
125000,21,90.3475,-5215.21,20.9933,0.387
130000,21,89.7879,-5216.92,14.5535,0.368
135000,11,42.0047,-5227.58,10.0908,0.338385
140000,11,48.7651,-5228.54,10.8045,0.343
145000,22,94.8154,-5214.36,32.1534,0.396
150000,19,80.6041,-5211.39,16.4272,0.404
155000,20,91.5385,-5213.5,16.1058,0.3744
160000,20,78.075,-5227.55,20.3043,0.383
165000,18,75.6592,-5216.03,18.035,0.352
170000,13,53.2794,-5226.24,13.8641,0.375
175000,17,73.7564,-5219.95,18.8944,0.382
180000,18,79.4956,-5215.03,22.1649,0.374
185000,16,68.0316,-5212.66,12.6459,0.384
190000,18,77.387,-5202.81,16.4212,0.377
195000,15,57.0617,-5217.54,14.3298,0.334
200000,17,66.3473,-5219.09,20.681,0.368
205000,17,71.7049,-5216.58,20.2418,0.385
210000,16,62.2678,-5219.79,15.0531,0.338
215000,15,56.237,-5212.11,12.5565,0.336
220000,16,62.2474,-5222.91,15.7788,0.356
225000,16,70.504,-5216.97,10.9547,0.385
230000,14,59.7852,-5233.21,10.257,0.398
235000,13,52.6137,-5218.89,15.3997,0.335667
240000,13,54.2056,-5215.55,16.7525,0.389
245000,13,48.79,-5229.07,13.0802,0.37
250000,11,47.675,-5228.93,10.1261,0.34
255000,12,53.2023,-5226.38,11.0156,0.333
260000,14,59.1452,-5221.59,13.4154,0.352
265000,20,85.7982,-5224.27,24.6898,0.386
270000,14,59.4148,-5218.92,12.676,0.355
275000,14,57.1792,-5219.95,14.0853,0.377286
280000,17,73.0038,-5213.79,13.4215,0.392
285000,14,57.8064,-5212.3,7.86346,0.3856
290000,15,68.1125,-5212.57,17.1969,0.375857
295000,18,74.1763,-5218.25,20.9187,0.372
300000,10,44.3252,-5223.31,7.02286,0.368211
305000,17,69.0812,-5211.05,24.2684,0.376
310000,14,61.4976,-5223.55,10.4745,0.370273
315000,11,47.3653,-5229.12,7.72566,0.332
320000,12,53.9206,-5222.66,9.52772,0.343
325000,15,65.4873,-5227.88,20.8933,0.357
330000,14,55.8073,-5225.76,8.17707,0.3622
335000,13,45.4273,-5210.78,11.1651,0.347118
340000,15,63.4661,-5219.55,9.93243,0.366
345000,14,57.3553,-5208.66,12.5915,0.391
350000,14,58.6566,-5209.8,12.1861,0.37
355000,11,48.9551,-5215.46,5.31592,0.339
360000,12,47.4794,-5222.01,9.24432,0.374
365000,11,46.0839,-5220.66,8.35607,0.38
370000,16,69.4344,-5210.62,18.4513,0.418
375000,13,50.3663,-5212.22,13.6536,0.394
380000,12,40.9641,-5224.85,9.12355,0.359224
385000,16,74.7921,-5214.64,20.1731,0.4
390000,21,93.2891,-5218.54,21.1919,0.392
395000,16,63.8003,-5214.51,18.7369,0.386462
400000,17,71.761,-5206.16,17.4165,0.383
405000,14,56.1784,-5227.09,9.41382,0.38
410000,19,77.3317,-5237.3,26.9547,0.388
415000,15,61.3439,-5209.06,7.19564,0.376629
420000,15,68.3298,-5228.42,16.2733,0.4078
425000,17,72.54,-5217.36,12.1581,0.415
430000,14,55.6059,-5214.16,24.1309,0.372
435000,14,57.0899,-5217.66,13.7715,0.369
440000,10,39.0424,-5235.65,8.50415,0.377667
445000,11,40.2276,-5223.49,8.90833,0.361727
450000,18,71.3273,-5211.36,19.4954,0.3755
455000,15,65.8356,-5209.56,14.4124,0.364
460000,17,70.9239,-5210.22,16.9682,0.377
465000,17,73.0025,-5213.54,22.1965,0.364
470000,14,55.0982,-5206.36,10.792,0.379
475000,17,74.9688,-5215.94,13.3513,0.377
480000,16,68.8997,-5213.22,13.8002,0.363
485000,13,57.9033,-5210.31,16.1513,0.399
490000,16,65.6021,-5206.03,17.1511,0.373
495000,18,78.3415,-5216.71,20.7024,0.394
500000,21,89.8543,-5214.4,13.8223,0.372
505000,15,59.3381,-5210.7,16.6218,0.364
510000,18,76.0542,-5214.42,18.9578,0.401
515000,22,82.5825,-5226.37,22.2976,0.425
520000,21,88.1455,-5223.31,22.9912,0.389
525000,13,54.8095,-5220.47,11.098,0.36
530000,21,85.5323,-5228.62,16.0856,0.391
535000,17,62.8777,-5229.88,20.5289,0.351
540000,16,64.6054,-5218.64,16.7668,0.353
545000,17,66.571,-5204.52,10.5215,0.375
550000,15,53.2585,-5207.89,15.0317,0.364
555000,15,52.1936,-5210.72,15.9326,0.382
560000,16,64.7896,-5207.83,11.1009,0.366
565000,16,59.4332,-5214.99,13.9849,0.354
570000,18,72.781,-5199.18,11.9801,0.411
575000,16,66.3939,-5209.69,15.8091,0.411
580000,17,63.7041,-5208.93,10.5415,0.392
585000,17,66.981,-5211.29,14.3303,0.382
590000,16,64.2901,-5206.04,15.2073,0.373
595000,13,53.3388,-5223.12,16.2835,0.365
600000,14,58.499,-5221.65,6.70734,0.371
605000,16,67.1313,-5214.02,19.7857,0.348
610000,17,69.4598,-5206.25,26.706,0.39
615000,23,87.3547,-5210.59,22.0744,0.36
620000,22,80.7655,-5195.32,17.5423,0.378
625000,24,95.6152,-5189.81,26.8537,0.406
630000,22,92.5698,-5210.74,17.437,0.4
635000,17,67.8418,-5211.72,11.5916,0.331
640000,18,77.9316,-5222.08,13.2602,0.402
645000,18,68.6827,-5215.19,15.5401,0.369
650000,14,50.6797,-5221.35,13.8706,0.370412
655000,13,49.5548,-5210.32,11.221,0.347
660000,17,73.4048,-5206.93,17.2863,0.367
665000,14,48.6758,-5208.31,14.8228,0.378
670000,14,51.9296,-5203.02,12.1461,0.371
675000,17,71.5108,-5208.87,14.7977,0.343
680000,22,85.0054,-5221.79,21.3273,0.385
685000,17,64.0603,-5202.53,11.447,0.361
690000,19,62.0558,-5205.82,21.3552,0.38
695000,18,74.3543,-5204.9,18.2439,0.374
700000,17,71.6877,-5201.7,14.8155,0.368
705000,18,80.3097,-5204.6,13.3071,0.409
710000,17,72.1879,-5222.31,15.0101,0.362
715000,13,54.3115,-5211.33,8.56622,0.334
720000,14,61.073,-5224.97,13.1105,0.380333
725000,14,56.9865,-5229.8,15.0972,0.364
730000,13,54.3147,-5221.64,13.0946,0.372
735000,12,46.7491,-5221.61,17.8136,0.385
740000,15,61.7718,-5233.54,13.1921,0.378
745000,14,55.3017,-5220.68,10.4574,0.369
750000,14,63.2442,-5220.8,10.9235,0.351342
755000,16,66.8366,-5214.35,15.8186,0.387
760000,14,56.6142,-5224.33,20.37,0.312
765000,12,46.6726,-5228,13.6513,0.3648
770000,17,64.3284,-5221.23,19.2076,0.3895
775000,14,57.3241,-5221.34,14.0329,0.347
780000,14,56.3302,-5207.09,16.0233,0.355
785000,16,67.7443,-5206.28,14.2525,0.33
790000,19,79.6511,-5202.69,13.5138,0.383
795000,16,63.742,-5220.97,18.7686,0.378
800000,12,46.3884,-5219.92,18.2275,0.333
