generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.129078,0,0.0995803,0
5000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.150826,-0.00154037,0.101868,0
5000,Leptogenys_carbonaria,Leptogenys_deborae,101.193,0.374728,0.00562093,0.00809225,0
10000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.146215,-0.00154037,0.0957622,0
10000,Leptogenys_afr01,Leptogenys_pe02,83.8219,0.727912,-0.00842621,0.454593,0
10000,Belonopelta_attenuata,Simopelta_jtl003,2.19813,0.0755642,-0.00775615,0.0227736,0
15000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.141512,-0.00130803,0.0773257,0
15000,Odontomachus_ph02,Odontomachus_assiniensis,26.307,0.10887,-0.0153511,0.0236885,0
15000,Leptogenys_afr01,Leptogenys_pe02,84.4489,0.588214,-0.00622223,0.387738,0
15000,Belonopelta_attenuata,Simopelta_jtl003,1.80102,0.0596849,-0.00776855,0.0150957,0
20000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0943027,-0.00124257,0.0238235,0
20000,Odontomachus_ph02,Odontomachus_assiniensis,27.5302,0.0722569,-0.00927668,0.0178446,0
20000,Leptogenys_afr01,Leptogenys_pe02,84.3803,0.430419,0.0015999,0.302435,0
20000,Myopias_mj_sp6,Myopias_my11,82.2562,0.169897,0.00595915,0.200331,0
20000,Myopias_bg02,Myopias_my05,70.1088,0.111896,0.000124221,0.0446529,0
20000,Ectomomyrmex_aciculatus,Ectomomyrmex_acutus,106.779,0.529215,0.0142624,0.020639,0
20000,Belonopelta_attenuata,Simopelta_jtl003,2.16158,0.163392,-0.0145687,0.0480709,0
20000,Platythyrea_afrc_tz01,Platythyrea_mg04,17.6316,0.148518,-0.012375,0.0521722,0
25000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.121054,-0.00180362,0.059336,0
25000,Odontomachus_ph02,Odontomachus_assiniensis,27.5553,0.128678,-0.0154223,0.0342909,0
25000,Leptogenys_afr01,Leptogenys_acutangula,80.4135,0.489887,0.00232594,0.385002,0
25000,Hypoponera_mj_fogo07,Hypoponera_sky_f,97.4078,0.283974,-0.000792344,0.0783518,0
25000,Belonopelta_attenuata,Simopelta_jtl003,1.91231,0.0568944,-0.00787818,0.00312869,0
25000,Platythyrea_afrc_za01,Platythyrea_mg01,60.5367,0.0539383,-0.00621731,0.00765174,0
30000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0886963,-0.000740027,0.0339804,0
30000,Odontomachus_ph02,Odontomachus_assiniensis,26.041,0.054335,-0.0109021,0.00437362,0
30000,Leptogenys_afr01,Leptogenys_pe02,83.829,0.463521,0.0113188,0.375487,0
30000,Leptogenys_afr01,Myopias_bg02,64.4592,0.0803581,0.0198244,0.0100102,0
30000,Hypoponera_mj_fogo07,Hypoponera_sky_f,99.7535,0.246096,0.00609028,0.0777217,0
30000,Ectomomyrmex_aciculatus,Ectomomyrmex_acutus,104.711,0.299502,0.000640247,0.0692708,0
30000,Belonopelta_attenuata,Simopelta_jtl003,1.73329,0.1266,-0.014696,0.0255215,0
30000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,11.6888,0.0527081,-0.0030029,0.0143702,0
35000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0777103,-0.00107537,0.00925292,0
35000,Odontomachus_ph02,Odontomachus_assiniensis,27.9039,0.0478122,-0.00976743,0.000825136,0
35000,Leptogenys_afr01,Leptogenys_pe02,80.7541,0.527464,0.00521473,0.42045,0
35000,Leptogenys_afr01,Myopias_bg02,65.7328,0.107014,0.00439929,0.0364031,0
35000,Hypoponera_mj_fogo07,Hypoponera_sky_f,99.4396,0.368602,0.00991543,0.257956,0
35000,Hypoponera_mj_fogo07,Hypoponera_psw_my10,96.0857,0.184659,-0.0238641,0.0631178,0
35000,Ectomomyrmex_ph03,Ectomomyrmex_aciculatus,101.706,0.292377,-0.00859683,0.0828297,0
35000,Thaumatomyrmex_cochlearis,Thaumatomyrmex_mandibularis,94.465,0.151018,0.0240602,0.118071,0
35000,Belonopelta_attenuata,Simopelta_jtl003,1.84097,0.102148,-0.0119914,0.0300128,0
35000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,9.97909,0.164397,-0.0113824,0.0530507,0
40000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.083583,-0.00107537,0.0254992,0
