generation,N_shifts,logPrior,logLik,eventRate,acceptRate
635000,14,56.8393,-5224.16,12.0445,0.337
640000,14,50.7142,-5213.67,14.5771,0.366
645000,13,44.7276,-5209.42,12.8865,0.342
650000,19,61.1226,-5215.4,17.5553,0.384
655000,12,44.266,-5219.64,19.3392,0.36032
660000,11,42.6935,-5216.76,13.0901,0.356
665000,13,41.8645,-5214.77,14.2517,0.364
670000,14,51.3449,-5207.89,18.4455,0.359
675000,15,55.6378,-5213.23,12.1418,0.388
680000,17,67.1674,-5225.08,16.6615,0.368
685000,16,64.8402,-5224.32,17.9078,0.411
690000,15,62.6168,-5213.54,7.36095,0.364
695000,15,67.759,-5220.69,14.7702,0.375463
700000,17,70.1997,-5209,12.4752,0.38
705000,18,75.5453,-5221.51,14.8827,0.369
710000,18,63.3695,-5209.85,27.3413,0.369
715000,14,53.824,-5230.06,13.0975,0.35
720000,11,42.9523,-5223.03,15.501,0.375
725000,13,48.5963,-5221.15,9.5286,0.33
730000,13,45.4968,-5219.08,11.9192,0.3594
735000,10,41.7916,-5234.74,8.49464,0.356823
740000,16,62.7482,-5212.9,16.0295,0.385
745000,15,64.3333,-5216.05,17.2208,0.36
750000,17,65.2736,-5211.42,18.0058,0.357
755000,25,109.831,-5210.46,18.5467,0.388
760000,17,68.5683,-5220.94,13.3285,0.372
765000,16,62.1102,-5222.42,10.778,0.3756
770000,18,79.24,-5224.6,11.6964,0.391
775000,16,69.5923,-5208.8,15.8329,0.349
780000,15,62.474,-5211.42,21.6148,0.349
785000,21,84.2832,-5203.6,24.8187,0.39
790000,20,78.0304,-5194.92,29.3816,0.375
795000,18,80.4863,-5210.34,13.6379,0.369
800000,18,64.8283,-5213.55,19.0782,0.366712
805000,14,59.3831,-5214.29,9.0941,0.357
810000,16,61.1131,-5218.63,17.485,0.348
815000,18,74.5686,-5209.9,21.0788,0.379571
820000,18,72.028,-5212.95,17.2845,0.395
825000,17,68.8014,-5216.67,18.2584,0.38
830000,14,44.1422,-5221.53,14.6238,0.362312
835000,14,58.6151,-5218.86,9.51936,0.352
840000,17,75.6188,-5214.6,19.1667,0.398
845000,18,68.7129,-5209.94,27.0601,0.399
850000,18,72.0639,-5217.17,17.3562,0.382
855000,16,61.8071,-5213.47,22.9363,0.382846
860000,17,71.8235,-5228.19,16.7797,0.406
865000,16,63.7298,-5221.32,16.9959,0.364
870000,11,44.2197,-5233.08,8.75447,0.345
875000,17,62.6179,-5215.71,18.572,0.392
880000,16,64.9444,-5222.32,16.0191,0.3965
885000,13,51.695,-5214.7,10.1077,0.348
890000,14,58.2433,-5218.33,14.4308,0.379
895000,15,62.125,-5223.19,14.0557,0.358
900000,14,53.9999,-5224.67,12.9944,0.37
905000,16,67.7075,-5211.91,17.4667,0.394
910000,21,86.2277,-5214.72,23.2108,0.384
915000,15,51.5387,-5217.2,14.1252,0.364
920000,13,51.6523,-5216.77,11.0753,0.347
925000,16,65.1931,-5211.57,10.2888,0.38
930000,15,59.7287,-5214.42,15.6958,0.396
935000,15,57.2462,-5215.96,17.5381,0.369
940000,20,93.0327,-5215.35,21.3885,0.379
945000,11,43.6465,-5220.85,4.81927,0.355947
950000,12,46.1266,-5223.33,15.3274,0.3755
955000,15,64.8541,-5224.52,16.819,0.3995
960000,13,50.8373,-5224.5,15.8793,0.371778
965000,17,75.7903,-5220.39,12.6153,0.378048
970000,17,76.4354,-5217.88,24.1873,0.355
975000,18,74.2484,-5210.32,14.1542,0.38
980000,19,82.2406,-5209.51,20.8587,0.376
985000,11,42.765,-5220.47,7.718,0.358
990000,13,49.0395,-5216.38,13.8677,0.347
995000,13,54.0965,-5225.02,13.9766,0.362667
1000000,12,52.2955,-5223.48,8.86557,0.338
1005000,12,50.7554,-5227.62,7.80819,0.355
1010000,12,51.2316,-5233.87,11.2516,0.369
1015000,14,55.5489,-5230.84,11.3411,0.366
1020000,17,67.1224,-5219.16,10.3904,0.397
1025000,18,70.2435,-5212.23,19.0672,0.385
1030000,14,46.2581,-5222.36,16.2395,0.38925
1035000,16,70.0268,-5208.33,16.5935,0.382
1040000,17,58.1321,-5209.37,16.4163,0.402
1045000,12,47.2175,-5228.73,14.9727,0.325
1050000,15,65.7423,-5221.45,21.3881,0.376
1055000,13,46.9465,-5226.82,14.5352,0.368
1060000,20,78.8262,-5202.85,19.6447,0.39365
1065000,17,60.3548,-5199.97,19.4371,0.399
1070000,14,56.6561,-5221.81,13.2301,0.38
1075000,17,65.3507,-5221.23,16.7494,0.365
1080000,14,62.1459,-5205.38,11.7513,0.386
1085000,16,56.3071,-5202.64,11.3495,0.371
1090000,13,54.8428,-5215.39,11.9813,0.376333
1095000,15,61.5241,-5212.3,18.8562,0.374
1100000,14,53.4102,-5214.16,10.9479,0.383
1105000,17,68.583,-5208.29,10.5377,0.4
1110000,15,63.7077,-5204.36,15.2334,0.384
1115000,17,75.2532,-5225.79,18.2102,0.365
1120000,11,48.9288,-5231.42,6.56698,0.372474
1125000,13,44.0048,-5220.3,16.735,0.344
1130000,19,78.4654,-5212.65,16.134,0.387
1135000,18,73.7844,-5217.1,11.8486,0.367933
1140000,13,54.7575,-5218.3,11.3595,0.341
1145000,15,56.0108,-5223.94,28.4492,0.369
1150000,19,69.4444,-5206.78,17.7425,0.38
1155000,19,76.4775,-5204.96,25.3143,0.405
1160000,18,77.2613,-5220.63,12.785,0.35799
1165000,20,80.8953,-5221.37,17.2506,0.378
1170000,13,51.0169,-5211.06,17.5659,0.406
1175000,12,53.4395,-5221.72,19.6353,0.379345
1180000,13,55.4779,-5222.68,9.95131,0.393
1185000,16,66.0591,-5209.28,13.3402,0.426
1190000,17,64.3114,-5212.5,24.9453,0.342
1195000,15,58.1275,-5202.55,9.88808,0.387
1200000,14,57.5761,-5211.09,15.4857,0.37
1205000,15,60.0711,-5217.61,13.4395,0.3742
1210000,19,73.0544,-5222.12,23.0108,0.376
1215000,14,50.9616,-5227.31,21.3785,0.341
1220000,15,64.2167,-5221.11,21.0267,0.348
1225000,18,73.7552,-5212.84,14.6889,0.37
1230000,17,73.1931,-5213.8,13.2014,0.37
1235000,16,64.4675,-5214.32,22.2094,0.391
1240000,17,73.5191,-5224.13,18.011,0.401
1245000,18,68.939,-5224.42,10.8789,0.356
1250000,20,80.731,-5217.46,17.8524,0.386625
1255000,16,68.8354,-5215.81,20.1693,0.39
1260000,14,61.657,-5213.49,18.0767,0.344
1265000,14,58.654,-5219.61,10.8272,0.357
1270000,13,55.9555,-5226.17,12.9279,0.322
1275000,18,76.7276,-5201.76,27.6623,0.364714
1280000,15,57.8229,-5226.06,13.8701,0.356
1285000,17,72.1986,-5211.21,24.5526,0.384
1290000,15,62.4892,-5230.29,14.8045,0.375
1295000,16,64.102,-5224.16,23.552,0.423
1300000,11,49.743,-5229.79,7.44202,0.374269
